Periodo mensual,IGAE
2010/01,86.87
2010/02,85.23
2010/03,92.29
2010/04,90.58
2010/05,92.3
2010/06,93.23
2010/07,92.33
2010/08,91.56
2010/09,90.56
2010/10,93.85
2010/11,95.97
2010/12,95.6
2011/01,90.21
2011/02,88.57
2011/03,95.83
2011/04,91.6
2011/05,95.95
2011/06,96.49
2011/07,95.22
2011/08,96.54
2011/09,94.1
2011/10,97.44
2011/11,101.08
2011/12,98.82
2012/01,94.67
2012/02,94.08
2012/03,99.09
2012/04,95.48
2012/05,100.32
2012/06,99.69
2012/07,99.31
2012/08,99.1
2012/09,95.19
2012/10,101.86
2012/11,104.39
2012/12,100.53
2013/01,97.97
2013/02,94.67
2013/03,97.06
2013/04,99.92
2013/05,102.28
2013/06,99.52
2013/07,100.81
2013/08,100.27
2013/09,96.81
2013/10,103.67
2013/11,104.23
2013/12,102.8
2014/01,98.76
2014/02,96.96
2014/03,101.49
2014/04,100.32
2014/05,104.86
2014/06,102.89
2014/07,104.14
2014/08,101.74
2014/09,100.02
2014/10,106.81
2014/11,106.48
2014/12,106.88
2015/01,102.32
2015/02,99.87
2015/03,104.97
2015/04,103.69
2015/05,106.2
2015/06,107.32
2015/07,107.46
2015/08,105.48
2015/09,105.02
2015/10,109.29
2015/11,109.1
2015/12,109.26
2016/01,104.42
2016/02,104.58
2016/03,105.91
2016/04,107.29
2016/05,109.06
2016/06,109.96
2016/07,107.52
2016/08,108.95
2016/09,106.06
2016/10,110.56
2016/11,114.15
2016/12,112.51
2017/01,108.42
2017/02,105.28
2017/03,111.91
2017/04,106.2
2017/05,112.3
2017/06,112.8
2017/07,108.96
2017/08,111.77
2017/09,106.32
2017/10,112.85
2017/11,116.18
2017/12,113.99
2018/01,111.01
2018/02,107.81
2018/03,111.19
2018/04,111.59
2018/05,115.82
2018/06,114.44
2018/07,112.8
2018/08,114.33
2018/09,108.77
2018/10,115.97
2018/11,117.74
2018/12,113.12
2019/01,112.54
2019/02,108.87
2019/03,112.34
2019/04,109.86
2019/05,115.28
2019/06,112.87
2019/07,113.4
2019/08,113.26
2019/09,108.86
2019/10,115.36
2019/11,116.24
2019/12,113.33
2020/01,112.32
2020/02,108.75
2020/03,109.9
2020/04,88.18
2020/05,88.93
2020/06,97.86
2020/07,102.17
2020/08,102.71
2020/09,103.22
2020/10,109.12
2020/11,110.91
2020/12,110.69
2021/01,105.38
2021/02,102.64
2021/03,111.48
2021/04,107.93
2021/05,111.98
2021/06,111.11
2021/07,109.85
2021/08,107.15
2021/09,104.13
2021/10,108.36
2021/11,112.69
2021/12,112.15
